frame,x,y,H,S,V,B,G,R
1959,1095,540,0,208,129,25,24,129
1961,1060,553,0,208,129,25,24,129
1963,1036,560,0,206,126,24,24,126
1965,1002,558,0,208,125,23,23,125
1967,976,558,0,209,122,22,22,122
1969,923,573,179,213,121,23,20,121
1971,875,579,0,211,121,21,21,121
1973,830,590,0,211,121,21,21,121
1975,770,613,0,209,122,22,22,122
1977,703,617,179,216,119,21,18,119
1979,636,622,179,211,122,24,21,122
1981,615,626,0,211,121,21,21,121
1983,581,621,0,211,121,21,21,121
1985,512,656,179,209,121,24,22,121
1987,459,701,179,206,120,25,23,120
1989,436,715,178,207,116,28,22,116
1991,388,719,179,204,115,27,23,115
1993,296,727,0,224,107,14,13,107
1995,296,727,179,214,106,20,17,106
1997,296,727,179,209,112,24,20,112
1999,298,710,178,213,116,24,19,116
2001,276,671,0,221,114,15,16,114
2002,264,644,177,183,128,44,36,128
2003,281,622,178,185,123,39,34,123
2005,401,572,1,219,128,18,20,128
2007,420,552,1,226,122,14,17,122
2009,413,563,0,215,115,18,19,115
2010,415,580,0,216,130,20,20,130
2012,419,604,0,208,125,23,23,125
2014,387,627,1,213,121,20,23,121
2015,372,642,1,220,118,16,18,118
2016,370,648,1,215,121,19,21,121
2018,386,646,1,211,123,21,23,123
2020,410,638,0,216,118,18,18,118
2022,450,624,0,211,121,21,21,121
2024,473,613,0,211,121,21,21,121
2026,507,602,0,209,121,22,23,121
2028,544,599,0,209,121,22,23,121
2030,576,596,0,209,121,22,23,121
2032,638,553,0,210,114,21,20,114
2034,656,524,0,210,120,21,22,120
2036,659,509,0,210,124,22,22,124
2038,670,494,1,216,123,19,21,123
2040,687,485,0,209,122,22,22,122
2042,705,472,0,211,121,21,21,121
2044,705,463,0,210,120,21,22,120
2046,659,456,179,216,117,20,18,117
2048,640,455,179,213,116,21,19,116
2050,601,457,1,212,114,19,21,114
2052,550,461,0,212,113,20,19,113
2054,549,444,0,214,112,19,18,112
2056,602,392,0,210,118,21,22,118
2058,595,367,179,215,115,20,18,115
2060,531,358,0,203,118,25,24,118
2062,525,362,179,206,109,24,21,109
2064,617,369,0,212,107,18,18,107
2066,630,395,179,212,107,21,18,107
2068,521,409,0,214,106,17,17,106
2070,526,419,0,217,108,17,16,108
2072,586,422,0,209,112,21,20,112
2074,618,416,1,214,111,18,20,111
2089,621,407,179,208,119,24,22,119
2091,621,407,179,208,119,24,22,119
2093,630,406,179,208,119,24,22,119
2095,641,404,179,208,119,24,22,119
2096,646,404,0,207,122,23,24,122
2098,650,404,179,208,119,24,22,119
2100,652,404,0,208,119,22,23,119
0,652,404,16,65,142,106,125,142
52,834,457,179,209,145,28,26,145
54,825,461,179,209,145,28,26,145
56,821,455,0,209,145,26,26,145
58,829,438,0,209,143,26,26,143
60,849,450,0,204,146,29,29,146
62,830,466,0,207,144,27,27,144
64,827,428,0,208,141,26,27,141
66,830,454,0,209,143,26,26,143
68,803,460,0,208,146,27,27,146
70,793,438,179,209,143,28,26,143
72,798,426,0,204,144,29,30,144
74,754,456,179,209,143,28,26,143
76,736,461,179,209,143,28,26,143
187,786,510,0,215,145,24,23,145
189,781,513,179,213,146,27,24,146
191,779,513,179,215,145,26,23,145
193,755,520,0,212,148,26,25,148
195,784,524,0,215,141,22,22,141
197,790,521,179,209,143,28,26,143
199,789,529,179,209,143,28,26,143
201,790,563,0,208,146,27,27,146
203,789,585,0,212,147,26,25,147
205,791,614,0,212,143,24,24,143
207,795,635,179,212,143,26,24,143
209,797,641,0,215,141,22,22,141
